#slit,RA(2000),DEC(2000),RA wrt #2,DEC wrt #2,new name,scale x,scale y,spectra,reference star,helio corr
spm024,83.65325,-5.37626,4.04999999999973,7.991999999998,star2n799,0.354,0.528,spm025-ha.fits,wrt 373 HH505,-23.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,NEBULOSA,ORION,,,,,,
spm048,83.80962,-5.39818,1.5791999999999,-3.52800000000073,star2s353,0.35,0.522,spec049-oiii.fits,JW499,-23.98
spm052,83.81013,-5.3991,1.45679999999857,-6.84000000000005,star2s684,0.349,0.521,spec053-oiii.fits,JW499,-24.03
spm060,83.81044,-5.39937,1.38239999999882,-7.81200000000162,star2s781,0.352,0.526,spec053-oiii.fits,JW499,-24.13
spm046,83.809009,-5.396029,1.72583999999802,4.21559999999772,star2n421,0.351,0.525,spec047-oiii.fits,JW499,-23.95
spm050,83.809215,-5.3965352,1.67640000000006,2.39328000000008,star2n239,0.351,0.524,spec051-oiii.fits,JW499,-23.98
spm054,83.809513,-5.3967995,1.60487999999987,1.44179999999849,star2n144,0.351,0.524,spec055-oiii.fits,JW499,-24.03
spm059,83.80941,-5.3973552,1.62959999999885,-0.558720000000079,star2c056,0.35,0.524,spec060-oiii.fits,JW499,-24.07
spm063,83.80951,-5.397564,1.60559999999805,-1.31040000000091,star2s131,0.351,0.525,spec064-oiii.fits,JW499,-24.1
spm067,83.809978,-5.3979335,1.49327999999855,-2.64059999999979,star2s264,0.351,0.525,spec068-oiii.fits,JW499,-24.14
spm071,83.810021,-5.39834425,1.48295999999732,-4.11930000000105,star2s412,0.351,0.525,spec072-oiii.fits,JW499,-24.17
spm075,83.810228,-5.39874525,1.43327999999997,-5.56290000000139,star2s556,0.351,0.525,spec076-oiii.fits,JW499,-24.2
spm079,83.810262,-5.3990587,1.42512000000011,-6.69132000000197,star2s669,0.351,0.525,spec080-oiii.fits,JW499,-24.23
spm083,83.810634,-5.3994161,1.33584000000042,-7.9779600000002,star2s797,0.351,0.525,spec084-oiii.fits,JW499,-24.26
spm087,83.8106,-5.3997833,1.34400000000028,-9.29988000000144,star2s929,0.35,0.526,spec088-oiii.fits,JW499,-24.28
spm091,83.810557,-5.4000922,1.3543199999981,-10.4119199999992,star2s104,0.349,0.526,spec092-oiii.fits,JW499,-24.3
spm120,83.808964,-5.4001608,1.73663999999803,-10.6588800000011,star2s106,0.349,0.525,spec121-oiii.fits,JW499,-24.02
spm124,83.80912,-5.4003858,1.69920000000047,-11.4688799999993,star2s114,0.35,0.525,spec125-oiii.fits,JW499,-24.06
spm129,83.809115,-5.4006513,1.70039999999744,-12.4246800000002,star2s124,0.35,0.525,spec130-oiii.fits,JW499,-24.1
spm135,83.809203,-5.3997455,1.67927999999961,-9.16380000000032,star2s916,0.35,0.525,spec136-oiii.fits,JW499,-24.15
spm139,83.809334,-5.4011967,1.64783999999713,-14.3881200000003,star2s143,0.35,0.525,spec140-oiii.fits,JW499,-24.2
spm143,83.809792,-5.401718,1.53791999999839,-16.2648000000001,star2s162,0.35,0.526,spec144-oiii.fits,JW499,-24.24
,,,,,,,,,,
lamrest,lam0,lamscale,d vel,,,,,,,
5006.85,5002,0.033379,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,ORION,WEST,,,,,,
,,,,,,,,,,
star #2,83.6139,-5.406175,,,,,,,,
,,,,,,,,,,
spm029,83.6084,-5.415455,1.31999999999948,-33.4079999999982,star2s334,0.352,0.517,spec030-ha,star #2,-23.87
spm033,83.61066,-5.41652,0.777600000001257,-37.2420000000002,star2s372,0.352,0.517,spec034-ha,star #2,-23.93
spm149,83.623107,-5.4239194,-2.20968000000084,-63.8798399999992,star2s639,0.35,0.527,spec150-ha.fits,star #2,-24.33
spm154,83.623724,-5.4225751,-2.35775999999873,-59.0403600000009,star2s590,0.35,0.527,spec155-ha.fits,star #2,-24.38
spm159,83.623817,-5.4201143,-2.38008000000036,-50.1814799999988,star2s502,0.349,0.527,spec160-ha.fits,star #2,-24.43
spm165,83.614135,-5.4408767,-0.056400000000849,-124.926119999998,star2s125,0.351,0.527,spec166-ha.fits,star #2,-24.48
spm169,83.614586,-5.4382203,-0.164640000000418,-115.36308,star2s115,0.35,0.527,spec170-ha.fits,star #2,-24.51
spm226,83.6076,-5.4294007,1.51199999999903,-83.6125200000008,star2s836,0.35,0.528,spec227-ha.fits,star #2,-24.23
spm232,83.615722,-5.4320669,-0.43728000000101,-93.2108399999983,star2s932,0.349,0.527,spec233-ha.fits,star #2,-24.29
spm237,83.616552,-5.4360708,-0.636479999999438,-107.624880000001,star2s107,0.35,0.527,spec238-ha.fits,star #2,-24.34
,,,,,,,,,,
Halpha:,,,,,,,,,,
lamrest,lam0,lamscale,d vel,,,,,,,
6562.82,6557,0.043752133,2,,,,,,,
,,,,,,,,,,
[N II]:,,,,,,,,,,
lamrest,lam0,lamscale,,,,,,,,
6583.45,6578,0.043889666,2,,,,,,,
